X,Y,Z,Normal_X,Normal_Y,Normal_Z,Feed_Rate,Is_Rapid
-127.304600,9.650768,50.570792,-0.304466,0.419127,0.855355,50.00,False
-127.046569,9.536828,53.302957,-0.252859,0.396339,0.882597,50.00,False
-126.952460,9.105203,56.093308,-0.234038,0.310015,0.921476,50.00,False
-126.823133,8.770263,58.818982,-0.208172,0.243026,0.947419,50.00,False
-126.556270,8.641718,61.556894,-0.154800,0.154377,0.975810,50.00,False
-126.556270,8.641718,64.152852,-0.154800,0.154377,0.975810,50.00,False
-126.556270,8.641718,66.748809,-0.154800,0.154377,0.975810,50.00,False
-126.386948,7.699234,69.389064,-0.120935,0.125702,0.984669,50.00,False
-128.092142,10.701758,69.607279,-0.461974,0.726206,0.509121,50.00,False
-124.158085,9.736630,69.979740,-0.475163,0.658495,0.583613,200.00,True
-124.158085,9.736630,69.979740,-0.475163,0.658495,0.583613,50.00,False
-123.788864,10.626622,66.938817,-0.401318,0.770905,0.494620,50.00,False
-122.358729,7.805152,66.781818,-0.115292,0.146885,0.982412,50.00,False
-122.304899,8.691317,64.178089,-0.104526,0.164297,0.980857,50.00,False
-122.451999,9.455161,61.455120,-0.133945,0.262991,0.955455,50.00,False
-122.392246,9.611425,58.821449,-0.121995,0.294244,0.947912,50.00,False
-122.570473,9.609966,56.106610,-0.157640,0.348026,0.924136,50.00,False
-122.570473,9.609966,53.510652,-0.157640,0.348026,0.924136,50.00,False
-122.570473,9.609966,50.914695,-0.157640,0.348026,0.924136,50.00,False
-122.800514,10.157352,47.844337,-0.203648,0.520444,0.829256,50.00,False
-122.594881,11.295894,44.318675,-0.162522,0.748153,0.643315,50.00,False
-122.594881,11.295894,41.722718,-0.162522,0.748153,0.643315,50.00,False
-122.423959,12.352263,37.764324,-0.128338,0.919791,0.370828,50.00,False
-122.808101,12.580781,34.116196,-0.205166,0.965495,0.160394,50.00,False
-122.785976,12.723371,30.712830,-0.200741,0.979644,-0.001088,50.00,False
-122.724673,12.590348,26.937075,-0.188480,0.953039,-0.237048,50.00,False
-122.932357,11.686094,22.564864,-0.230017,0.772188,-0.592298,50.00,False
-122.998421,11.384825,19.262456,-0.243230,0.634576,-0.733588,50.00,False
